Experiments,Stimuli,Stimuli_efficacy,Inhibitors,Inhibitors_efficacy,Measured_nodes,Measured_values,n_patients,std,drug,mutation_profile
1,,,BCL2,1,AUC,143.51,68,73.31,Venetoclax,No mutation
2,,,BTK,1,AUC,190.71,70,58.24,Ibrutinib,No mutation
3,,,SYK,1,AUC,176.01,58,51.96,Entospletinib,No mutation
4,,,"MAP2K1,MAP2K2","1,1",AUC,185.68,68,65.00,Selumetinib,No mutation
5,,,"FLT3,KIT","1,1",AUC,186.52,76,63.11,Midostaurin,No mutation
6,FLT3,1,BCL2,1,AUC,66.56,12,69.84,Venetoclax,FLT3_ITD
7,FLT3,1,BTK,1,AUC,152.69,12,61.41,Ibrutinib,FLT3_ITD
8,FLT3,1,SYK,1,AUC,130.95,11,71.24,Entospletinib,FLT3_ITD
9,FLT3,1,"MAP2K1,MAP2K2","1,1",AUC,203.45,13,73.76,Selumetinib,FLT3_ITD
10,FLT3,1,"FLT3,KIT","1,1",AUC,157.27,12,80.05,Midostaurin,FLT3_ITD
11,,,"BCL2,NPM1","1,1",AUC,126.12,19,89.29,Venetoclax,NPM1
12,,,"BTK,NPM1","1,1",AUC,179.14,20,55.43,Ibrutinib,NPM1
13,,,"NPM1,SYK","1,1",AUC,181.49,17,41.30,Entospletinib,NPM1
14,,,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,219.19,17,93.76,Selumetinib,NPM1
15,,,"FLT3,KIT,NPM1","1,1,1",AUC,221.31,19,57.04,Midostaurin,NPM1
16,,,"BCL2,DNMT3A","1,1",AUC,145.53,12,79.27,Venetoclax,DNMT3A
17,,,"BTK,DNMT3A","1,1",AUC,198.97,11,29.95,Ibrutinib,DNMT3A
18,,,"DNMT3A,SYK","1,1",AUC,176.85,8,34.03,Entospletinib,DNMT3A
19,,,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,208.02,10,72.42,Selumetinib,DNMT3A
20,,,"DNMT3A,FLT3,KIT","1,1,1",AUC,195.17,12,63.72,Midostaurin,DNMT3A
21,NRAS,1,BCL2,1,AUC,162.58,21,82.06,Venetoclax,NRAS
22,NRAS,1,BTK,1,AUC,200.34,20,66.03,Ibrutinib,NRAS
23,NRAS,1,SYK,1,AUC,180.63,17,52.03,Entospletinib,NRAS
24,NRAS,1,"MAP2K1,MAP2K2","1,1",AUC,94.72,17,72.74,Selumetinib,NRAS
25,NRAS,1,"FLT3,KIT","1,1",AUC,212.82,20,46.56,Midostaurin,NRAS
26,FLT3,1,"BCL2,NPM1","1,1",AUC,62.10,8,55.44,Venetoclax,"FLT3_ITD,NPM1"
27,FLT3,1,"BTK,NPM1","1,1",AUC,140.41,7,57.32,Ibrutinib,"FLT3_ITD,NPM1"
28,FLT3,1,"NPM1,SYK","1,1",AUC,120.19,8,59.54,Entospletinib,"FLT3_ITD,NPM1"
29,FLT3,1,"MAP2K1,MAP2K2,NPM1","1,1,1",AUC,207.80,8,89.10,Selumetinib,"FLT3_ITD,NPM1"
30,FLT3,1,"FLT3,KIT,NPM1","1,1,1",AUC,148.12,9,82.14,Midostaurin,"FLT3_ITD,NPM1"
31,FLT3,1,"BCL2,DNMT3A","1,1",AUC,140.49,3,113.26,Venetoclax,"DNMT3A,FLT3_ITD"
32,FLT3,1,"BTK,DNMT3A","1,1",AUC,192.59,3,28.41,Ibrutinib,"DNMT3A,FLT3_ITD"
33,FLT3,1,"DNMT3A,SYK","1,1",AUC,183.65,3,26.67,Entospletinib,"DNMT3A,FLT3_ITD"
34,FLT3,1,"DNMT3A,MAP2K1,MAP2K2","1,1,1",AUC,199.50,4,64.31,Selumetinib,"DNMT3A,FLT3_ITD"
35,FLT3,1,"DNMT3A,FLT3,KIT","1,1,1",AUC,169.45,4,40.69,Midostaurin,"DNMT3A,FLT3_ITD"
36,"FLT3,NRAS","1,1",BCL2,1,AUC,74.45,2,87.19,Venetoclax,"FLT3_ITD,NRAS"
37,"FLT3,NRAS","1,1",BTK,1,AUC,210.58,2,36.98,Ibrutinib,"FLT3_ITD,NRAS"
38,"FLT3,NRAS","1,1",SYK,1,AUC,214.77,2,37.36,Entospletinib,"FLT3_ITD,NRAS"
39,"FLT3,NRAS","1,1","MAP2K1,MAP2K2","1,1",AUC,159.96,2,178.70,Selumetinib,"FLT3_ITD,NRAS"
40,"FLT3,NRAS","1,1","FLT3,KIT","1,1",AUC,228.91,2,2.35,Midostaurin,"FLT3_ITD,NRAS"
